wikipedia-24896-25-30-33-19-21	영국에서 사용되는 스포츠 유틸리티 자동차의 브랜드로는 랜드로버(Land Rover)와 지프(Jeep)가 있으며, 이 브랜드들은 자동차의 종류를 일컫는 말로 사용되기도 한다.	랜드로버	30	33	자동차	19	21	단체:제작
wikipedia-12728-224-5-7-42-44	선거에서 민주당은 해산 전 의석인 230석에 한참 못 미치는 57석(지역구 27석, 비례대표 30석)을 획득하는 데 그쳤다.	민주당	5	7	27석	42	44	관계_없음
wikipedia-28460-3-0-7-9-12	유럽 축구 연맹(UEFA) 집행위원회는 2014년 1월 24일에 열린 회의를 통해 2017년 대회부터 UEFA U-21 축구 선수권 대회 참가국을 8개국에서 12개국으로 확대하기로 결정했다.	유럽 축구 연맹	0	7	UEFA	9	12	단체:별칭
wikipedia-11479-37-24-26-3-5	용병 공격수 챠디의 부진과 시즌 초 활약한 강수일의 침체, 시즌 중반에 영입한 세르비아 출신 용병 미드필더 오그넨 코로만의 부상 등이 부진의 원인으로 지적되던 가운데 인천은 시즌 마지막 4경기에서 3승 1패를 거두며 막판 승점 쌓기에 성공, 정규리그 순위 5위로 플레이오프에 진출하는 데에 성공했다.	강수일	24	26	공격수	3	5	인물:직업/직함
wikipedia-15581-6-0-2-32-40	람캄행 왕은 1237년에서 1247년 사이 수코타이의 왕 퍼쿤 씨 인트라팃과 쓰엉 부인 사이의 셋째 아들로 태어났다.	람캄행	0	2	퍼쿤 씨 인트라팃	32	40	인물:부모님
wikitree-7590-2-33-35-19-21	이와 관련해 AFCD는 대학 소속 전문가와 세계동물보건기구(OIE)가 사람과 동물 사이에서 코로나19가 전파될 가능성이 크다고 밝혔다고 전했다.	OIE	33	35	전문가	19	21	관계_없음
wikitree-34003-6-18-22-3-4	"신형 K5 사전계약 돌풍에 대해 기아자동차 관계자는 ""한눈에 각인될 정도의 강렬한 디자인의 영향이 컸다""고 밝혔다."	기아자동차	18	22	K5	3	4	단체:제작
wikipedia-5778-2-14-21-58-64	2008년 이전 팀명칭은 나고야 그램퍼스 에이트였고 에이트는 나고야 시 표장에 있는 숫자(八)와 모기업 토요타 자동차의 브랜드를 상징하였으나, 2008년부터 에이트를 제외하고 팀 명칭을 나고야 그램퍼스로 호칭하고 있다.	나고야 그램퍼스	14	21	토요타 자동차	58	64	단체:모회사
wikitree-16842-8-95-99-8-10	SW융합교육원 조영주 담당교수는 “4차 산업혁명에 따라 SW역량은 전문가뿐만 아니라 일반시민에게도 꼭 필요한 기술이 되고 있다”면서 “호남권 최초의 소프트웨어 중심대학인 조선대학교는 이번 프로젝트를 통해 SW교육을 접하기 힘든 환경에 있었던 분들이 SW기술에 한층 가까워지게 되어 보람을 느꼈다”고 진행 소감을 전했다.	조선대학교	95	99	조영주	8	10	단체:구성원
wikitree-48285-0-17-21-86-88	김동양 NH투자증권 연구원은 “삼성SDS의 3분기 매출액은 2조6604억원, 영업이익은 2213억원으로 예상된다”라며 “매출액은 지난해 같은 기간에 비해 10% 늘어 시장 기대치를 충족할 것으로 보이며, 영업이익은 11% 증가가 예상되지만 기대치는 하회할 것으로 추정된다”라고 설명했다.	삼성SDS	17	21	10%	86	88	관계_없음
wikitree-19566-0-0-2-4-6	"심상정 정의당 대표는 21일 ""국민들께선 이번 총선에서 지지부진한 정치권의 이합집산과 꼼수정치를 심판하고 진정한 정치혁명의 길을 열어 달라""고 말했다."	심상정	0	2	정의당	4	6	인물:소속단체
wikipedia-20141-6-11-15-38-42	이후 구 공화당계와 유신정우회계 인사들은 김종철, 이만섭을 중심으로 한국국민당을 조직하였으나 박정희에 대한 부정적인 인식 및 구 3공화국 유신 인사들에 대한 부정축재 혐의 처벌 등으로 충청도와 수도권 일부, 전국구 몇 석에만 의존하여 6월 항쟁으로 신군부가 막을 내리기 이전까지 명맥을 유지하였다.	유신정우회	11	15	한국국민당	38	42	관계_없음
wikitree-42668-2-10-18-97-98	종합대상을 수상한 메종 글래드 제주를 운영하는 글래드 호텔앤리조트는, 1977년 삼호개발주식회사로 출발해 같은 해 오라 컨트리클럽을 개관, 1981년 제주그랜드호텔 개관 등 제주 발전사(史)의 한 흐름을 담당해왔으며 1992년에는 수도권 외 호텔로는 최초로 1000만달러 관광진흥탑을 수상, 2015년 대대적인 작업을 거쳐 제주그랜드호텔을 메종 글래드 제주로 리뉴얼 오픈했다.	메종 글래드 제주	10	18	제주	97	98	단체:본사_주(도)
wikipedia-21597-144-32-36-101-103	외질은 1-2로 진 왓퍼드와의 FA컵 경기에 선발 출전해 대니 웰벡의 만회골을 발뒤꿈치로 도왔고, 사흘 후에는 1-3으로 패한 바르셀로나와의 UEFA 챔피언스리그 경기를 치렀는데, 아스널은 3월에 치른 두 컵 대회에서 모두 탈락했다.	대니 웰벡	32	36	아스널	101	103	인물:소속단체
wikipedia-26351-26-43-48-22-28	쇠뇌를 소지한 병사가 실전에 임한 것은 제3차 십자군 원정 때인데, 사자심왕 리처드 1세가 이끄는 군대는 무슬림 전사들을 쏘기 위해 이 무기를 소지했다.	리처드 1세	43	48	제3차 십자군	22	28	관계_없음
wikitree-29092-0-0-8-35-36	고레에다 히로카즈 감독이 신작의 주인공이자 프랑스의 전설적인 여배우 카트린 드뇌브와의 일화들을 통해 영화를 둘러싼 풍부한 이야깃거리를 제공했다.	고레에다 히로카즈	0	8	배우	35	36	관계_없음
wikitree-41002-7-7-8-22-23	성유빈 씨는 윤희 모녀 여행에 함께하는 새봄의 남자친구 경수 역할을 맡았다.	윤희	7	8	새봄	22	23	관계_없음
wikipedia-15692-135-0-5-40-46	한국 기상청 기준으로는 12월 26일 오후 3시에 베트남 호치민 남서쪽 약 370km 부근 해상에서 중심기압 1004hPa의 열대저압부로 소멸하였다.	한국 기상청	0	5	약 370km	40	46	관계_없음
wikipedia-8763-258-41-43-17-22	하지만 대한민국의 미투 운동에 더불어민주당의 일부 정계인사들이 연루되고, 문재인 정부의 초대 청와대 대변인이었던 박수현이 불륜설에 휩싸임과 함께 금융감독원장에 임명된 김기식이 여러 논란에 휩싸임과 동시에 더불어민주당원 댓글 조작 사건까지 불거지면서 다시 위기에 몰렸다.	문재인	41	43	더불어민주당	17	22	인물:소속단체
